title,first_tone_annotation,first_framing_annotation
"A Set of Borders to Cross; For Children Seeking Immigrant Relatives in U.S., Journey Is Twofold",17.35,10.2
LAY OFF THE GUEST WORKER WE WANT,17.35,1.2
Would ban on renting to illegals make sense here?,19.35,5.2
"Immigrants Pull Weight In Economy, Study Finds",17.35,1.2
The Citizenship Surge,17.35,2.2
HISPANICS PUSHING CITIZENSHIP DRIVE,17.35,11.2
The Unluckiest Cubans,17.35,5.2
"In a Shift, U.S. Grants Asylum For Mexicans",17.35,5.2
The Talk of Virgin Islands; GROWTH BRINGS PROBLEMS TO VIRGIN ISLANDS AS IMMIGRATION PUTS A STRAIN ON SERVICES,17.35,1.2
By Dave Montgomery,18.3,13.2
"5,000 expected at immigration walk",17.35,12.2
"Union, recruiter to help 'guest workers'",17.35,1.2
"STROESSNER'S DAUGHTER, WIFE ARRIVE IN MIAMI",17.35,5.2
"'Without hope, future'; Soviet Jews in Italy wait to emigrate to USA; 'Glasnost' an immigration nightmare",17.35,5.2
Karr due back in U.S. today JonBenet suspect to land in L.A. COLLEAGUES SPEAK A fellow teacher says Karr struck him as a ``weirdo''; a Thai neighbor calls him ``nice and gentle.'',,
INS GETS TOUGHER ON REFUGEES,19.35,7.2
A Tale of Two Elections,18.3,13.2
'Yes-or-no' immigration mostly no's,19.35,5.2
UNCLE SAM CAN'T TURN BACK ON LEGAL U.S. IMMIGRANTS,17.4,4.2
POLITICS: THE ISSUES; Dole's Immigration Stance Splits G.O.P.,18.3,13.2
Fixing the INS,19.4,12.2
Alexandria Arlington Calendar; Community Events,,
WASHINGTON IN BRIEF,17.35,6.2
INS launches Web site to track students with visas,18.3,6.2
AMERICANS WARM UP TO IMMIGRATION,,12.2
Recommendations on Refugees,18.3,6.2
IMMIGRANT CHILDREN SAID TO PREFER ENGLISH,18.3,11.2
A Slow Start for INS,19.35,5.2
No opt-out for immigration enforcement,19.35,8.2
Nazi Propagandist Missing at Hearing; May Have Fled U.S.,19.35,7.2
Aliens Rush to Farmhands' Amnesty,18.3,6.2
"More sanity, more security",,5.2
