Title,Tone Code Mode
"""BLACK HAWK DOWN""; THE MOVIE; SOMALIS IN TWIN CITIES PREPARE FOR REACTION; SOME FEAR FILM WON'T GIVE AUDIENCES COMPLETE STORY",17
"""THE IMMIGRANT"" BLENDS STORY, DIALOGUE, CHARACTERS WITH STYLE",17
"""The economic gears of this country are dependent on the 12 million undocumented workers here."" Immigrant groups announce boycott",17
"""We need new laws; we have to speak out; we have to come out of the shadows."" ON A QUEST FOR JUSTICE Cesar Chavez tribute, immigration go step-in-step for Denver marchers",17
"$50,000 per entry",19
"' CONFUSION' MARKS INS OFFICE IN MIAMI, LEWIS SAYS OF REPORT",19
' COYOTE' SLIPS YOU UNDER BORDER PATROL'S NOSE,19
"' HOODWINKED' HOSPITAL FREES STOWAWAY, 44",19
' ISLAND' REFLECTS TRAGEDY OF CHINESE IMMIGRANTS,17
'60s-style ride to stop in Durham; National bus event to focus on immigrant workers' plight,17
"'90S ARE ERA OF HOPE, CLINTON TELLS SALVADOR",17
'A Day Without a Mexican' catches on Little-noticed movie resonates with activist immigrants,17
'ACTING' IS ALL TOO REAL. Plays focus on the struggles of immigrants,17
'Alien Nation',17
'Bambi' is back behind bars,19
'Big Brother' warning sounds again / Critics fear 'evil' in national ID cards,17
'Chilling Effects' Seen From Welfare Reform; Caseload Drop Sharper Among Immigrants,17
"'Fewer than 10' Iraqis detained; Federal agents have questioned more than 1,800 immigrants from Iraq since the invasion began.",19
'Full Control of Border',19
'GABBY' LOVES GUNS But wounded rep's no fan of illegal aliens,19
'Gift to Salvadoran Community'; Illegal Immigrants Granted Temporary Relief After Quakes,17
'Green card' courts no longer obscure; Sept. 11 turns spotlight on complex process,17
'Green cards' stalled for foreign workers; U.S. TRYING TO SPEED UP PROCESS,17
"'Home Is What It's All About'; Kosovo Refugees Seek Haven, Not Asylum, in the United States",17
'How can I not be thankful?',17
"'I WILL WAIT,' SAYS FIANCEE IN VISA FLAP",17
'I acted as a mother' // Baird explains hiring violation,19
"'I can't do what I really want to do'; Denied in-state tuition rates, illegal immigrants are dropping out of college or scaling back.",17
'I'M NOT A CRIMINAL. I'M JUST A DISHWASHER',17
'ILLEGALS' DEBATE REFLECTS BIAS VS. ALL IMMIGRANTS,17
'IMMIGRATION RAPIST' HUNTED COPS SAY HE TARGETS ILLEGAL ALIENS,18
'IT APPEARS THAT HE DID' APPLY FOR ASYLUM,17
'Immigration Divides Families',19
'Immigration': NSO's Many-Flavored Melting Pot,18
'International Village' gets hostile reception,19
"'LIES' AN UNEVEN, TOUCHING IMMIGRANT TALE",17
'Mexican Mitt' just does not get immigration,17
"'Minutemen' End Unofficial Border Patrol, but Plan to Return",19
'No Amnesty' Is Cry at D.C. Immigration Protest,19
'Numerous' arrests ahead for Chinese stowaways,19
'Organizational Schizophrenia in the I.N.S.',18
'Pit Bull' of the House Latches On to Immigration,19
'RAGS' TO REALITY YOUNG ACTORS LEARN STORIES OF THEIR OWN FAMILIES AS THEY RESEARCH PLAY ON IMMIGRATION STUDENTS DEPICT STORY OF RUSSIAN JEWS IN N.Y.,17
'Roses': Labor of Love,17
'SHAM' AT BX. MARKET: SUIT,19
'SMUGGLER' RESPONSE WRAPS MASSIVE DRILL,19
'STATELESS' MAN HELD IN SEPT. 11 SWEEP TO GO FREE,19
'Sheer need' drives flow from Mexico; Hispanics leaders: Bush plan could curb fear and abuse,17
'Snakeheads' at Your Service; Smugglers of People Play Big Part in Chinese Town's Economy,19
"'They Were Yelling, Crying And Screaming'; Details of Immigrants' Ordeal Emerge",17
'UNBEARABLE' LIFE IN CHINA. ASYLUM BATTLE OVER FORCED BIRTH CONTROL,17
'Undocumented Worker' Means 'Illegal Alien',19
'Undocumented workers' contribute more than they cost Minnesota,17
'WE SIMPLY CANNOT REMAIN A NATION WITHOUT BORDERS',19
'We've Lost Control of Our Borders',19
'Wild West Warren' stands firm; Cobb sheriff doesn't back down on enforcing immigration laws.,19
"'Without hope, future'; Soviet Jews in Italy wait to emigrate to USA; 'Glasnost' an immigration nightmare",17
'Yes-or-no' immigration mostly no's,19
...And the Fairness Act,17
...and a crackdown on illegals,19
"1,250 janitors fired over immigration",19
"10 new task forces across U.S. tackle identity, benefits, immigration fraud",19
103 Arrested in MS-13 Sweep; U.S. Crackdown Includes 35 Suspects in Area,19
"11.2 MILLION ILLEGAL IMMIGRANTS IN U.S. LAST YEAR, REPORT SAYS",19
12 Held in Ring to Obtain Papers for Illegal Aliens,19
12 Illegal Immigrants Are Found Dead in Desert,17
12 SENATE CONSERVATIVES LAUNCH THEIR OWN WELFARE-REFORM PLAN IMMIGRANTS AND UNWED TEENAGE MOTHERS ARE TARGETED. AMONG THE BACKERS: PRESIDENTIAL HOPEFUL PHIL GRAMM.,19
13 INDICTED IN PLOT TO SMUGGLE ALIENS,19
13 Refugees Returned as Policy Shifts; Cuban Americans Protest in Florida,19
14 Detained In Bid to Bar Cuban Exodus,19
15 IMMIGRANTS WHO FLED WTC NOW SEEK VISAS,17
150 NEW CITIZENS TO TAKE OATH JULY 3,17
"17 Arrive From Haiti And Cuba Together, But Fates May Differ",17
17 ILLEGAL IMMIGRANTS NABBED IN PALM BEACH,19
18 ILLEGAL IMMIGRANTS DIE AFTER BEING LEFT IN TRAILER,17
18 YEARS TO LIFE IN ROCKAWAY SLAY,17
19 CUNY campuses take a role. They will host naturalization ceremonies,17
1986 AMNESTY LAW IS SEEN AS FAILING TO SLOW ALIEN TIDE,19
2 ARE FOUND DEAD IN TRUCK HAULING ILLEGAL IMMIGRANTS,17
2 CHARGED IN FATAL SMUGGLING CASE,17
2 Candidates for Governor to Pay Back Taxes for Aliens,19
"2 Cities, 2 Approaches To Immigrants",17
2 KILLED IN VAN WRECK NEAR IMMIGRATION CHECKPOINT,17
2 Senior Republican Lawmakers Buck Party to Oppose Effort to Bar Education of Illegal Aliens,17
2 Sentenced In Smuggling Fatal to 10,19
"2 workers killed in second van accident; Following Monday's deadly crash in Wilmington, a van carrying 18 Hispanic laborers overturned in Lehigh County.",17
"20 Charged With Helping 13,000 Cheat on Test for Citizenship",19
200 Chinese Deportees Caught at U.S. Border,19
2003 GUIDE BOOK: PEOPLE: GLOBAL INFLUENCE: International community finds a place to call home,17
2010 Deportation Hearing Is Set for Obama's Aunt,19
21 Immigrants Fired After Missing Work for Rally,18
22 CHINESE ALIENS STRANDED IN JERSEY,19
24-year-old accused of raping 13-year-old,19
"25 area airport workers arrested; IMMIGRATION AGENTS SWEEP THROUGH S.F, S.J.",19
26 more arrested at Newark's airport; The total is 158 since last week in an investigation of rings smuggling immigrants from Mexico.,19
266 REJOICE AT TAKING OATH OF CITIZENSHIP,17
"27 Businesses In Montgomery Fined by INS; Feb. Immigrant Roundup Draws $154,000 in Levies",19
29 ILLEGAL IMMIGRANTS ARE ARRESTED IN AREA,19
3 Charged With Smuggling Deaf Mexicans,19
3 MEN ARRESTED IN DEAF MEXICAN SMUGGLING CASE,19
3 Men Charged With Forging Documents; Officials Say Green Card Operation Preyed on Immigrants,17
3 SENTENCED FOR FORCING 700 INTO SLAVERY IN GROVES,17
3 WITNESSES FOUND IN CONTEMPT FOR REFUSING TO TESTIFY ON ALIENS,19
3 are held in fatal van crash on I-70,17
3 inmates flee INS detention,19
